name,number_of_employees,Country,Zip_code,City,Address,Lat,Long,City_count
InvenSense,400,USA,95110,San Jose,1745 Technology Dr,37.407445,-122.019405,16.0
Kabam,650,USA,94107,San Francisco,795 Folsom Street,37.3944561,-122.0785314,50.0
PatientsLikeMe,200,USA,02141,Cambridge,155 Second Street,42.3674989,-71.0793952,6.0
Efficient Frontier,200,USA,94089,Sunnyvale,809 Eleventh Avenue,37.4049731,-122.0323525,9.0
[x+1],105,USA,10010,New York,315 Park Avenue South,40.7455068,-73.982624,30.0
Knewton,145,USA,10011,New York,100 5th Avenue,40.7310476,-74.0078134,30.0
AtHoc,150,USA,94403,San Mateo,2988 Campus Dr.,37.560747,-122.284001,11.0
Acquity Group,500,USA,60606,Chicago,500 West Madison Street,41.881876,-87.639713,7.0
Cloudmark,100,USA,94107,San Francisco,128 King Street,37.779507,-122.39071,50.0
TRUSTe,130,USA,94103,San Francisco,835 Market Street,37.7886685,-122.4005576,50.0
VMware,13500,USA,94304,Palo Alto,3401 Hillview Ave,37.403315,-122.145981,11.0
Medallia,140,USA,94306,Palo Alto,395 Page Mill Rd.,37.4520239,-122.1797053,11.0
Epic Advertising,105,USA,10018,New York,512 Seventh Avenue,40.753403,-73.989189,30.0
WSO2,228,USA,94306,Palo Alto,"4131 El Camino Real,",37.390918,-122.080843,11.0
mindSHIFT Technologies,380,USA,02452,Waltham,309 Waverley Oaks Road,42.38532,-71.207055,5.0
Practice Fusion,280,USA,94102,San Francisco,420 Taylor Street,37.7886717,-122.392725,50.0
NetSpend,300,USA,78768-2136,Austin,PO Box 2136,30.2667,-97.7428,5.0
Intacct,150,USA,95113,San Jose,150 Almaden Blvd.,37.332948,-121.89053,16.0
Louis Vuitton,9671,FRA,75008,Paris,101 Avenue des Champs Elys̩es,48.871976,2.30069,6.0
InsideView,150,USA,94107,San Francisco,444 De Haro Street,37.764169,-122.402021,50.0
WideOrbit,350,USA,94111,San Francisco,1160 Battery,37.7895289,-122.3885899,50.0
FusionOne,140,USA,95113,San Jose,55 Almaden Blvd.,37.333439,-121.895286,16.0
Troux Technologies,100,USA,78730,Austin,8601 FM 2222,30.381525,-97.810484,5.0
thePlatform,130,USA,98104,Seattle,1000 2nd Avenue,47.617838,-122.356027,8.0
MetaCarta,99999,USA,02139,Cambridge,350 Massachusetts Ave,42.36236,-71.099692,6.0
Achievers,150,USA,94105,San Francisco,181 Fremont Street,43.637296,-79.425455,50.0
IDEO,500,USA,94301,Palo Alto,100 Forest Avenue,37.441971,-122.161151,11.0
Zendesk,400,USA,94102,San Francisco,989 Market St,55.676294,12.568116,50.0
Epocrates,300,USA,94403,San Mateo,1100 Park Place,37.544987,-122.291394,11.0
SAVO,130,USA,60606,Chicago,155 N Wacker Drive,41.87675,-87.640458,7.0
Minted,115,USA,94111,San Francisco,747 Front Street,37.797435,-122.403175,50.0
Appirio,500,USA,94102,San Francisco,760 Market Street,37.5552776,-122.2997532,50.0
Black Duck Software,100,USA,02451,Waltham,265 Winter Street,42.398916,-71.253998,5.0
ngmoco,150,USA,94107,San Francisco,185 Berry Street,37.7705096,-122.4015807,50.0
Centrify,160,USA,94085,Sunnyvale,785 N. Mary Avenue,37.390918,-122.080843,9.0
Lyft,180,USA,94104,San Francisco,,37.7899027,-122.4007846,50.0
TradeCard,130,USA,10038,New York,75 Maiden Lane,40.707729,-74.007801,30.0
Yammer,400,USA,94103,San Francisco,1355 Market St,37.776246,-122.4179223,50.0
Centrify,160,USA,94085,Sunnyvale,785 N. Mary Avenue,37.390918,-122.080843,9.0
Lyft,180,USA,94104,San Francisco,,37.7899027,-122.4007846,50.0
TradeCard,130,USA,10038,New York,75 Maiden Lane,40.707729,-74.007801,30.0
Yammer,400,USA,94103,San Francisco,1355 Market St,37.776246,-122.4179223,50.0
LogLogic,150,USA,95134,San Jose,110 Rose Orchard Way,37.4155698,-121.9486567,16.0
RiseSmart,100,USA,95110,San Jose,2055 Gateway Place,37.383526,-122.012808,16.0
Groupon,10000,USA,60654,Chicago,600 W. Chicago Ave,41.8965162,-87.643622,7.0
Mindjet,200,USA,94111,San Francisco,1160 Battery Street East,50.095312,9.049981,50.0
Cloudera,230,USA,94306,Palo Alto,220 Portage Ave,37.5783417,-122.3497546,11.0
A10 Networks,500,USA,95134,San Jose,3 W Plumeria Drive,37.391198,-121.93393,16.0
Model Metrics,120,USA,60654,Chicago,600 West Chicago Ave,41.8961282,-87.6371628,7.0
SOASTA,100,USA,94041,Mountain View,444 Castro St.,37.418616,-122.087417,16.0
Next Jump,225,USA,10016,New York,261 Fifth Avenue,40.7451545,-73.9869549,30.0
Centro,300,USA,60654,Chicago,222 W Hubbard St.,41.889853,-87.6355433,7.0
PatientKeeper,150,USA,02451,Waltham,880 Winter Street,42.357119,-71.1858605,5.0
ShipServ,100,GBR,W4 5YA,London,"Building 3, Chiswick Park",51.4629038,-0.263377,8.0
Twilio,100,USA,94107,San Francisco,"645 Harrison, 3rd Floor",37.7898499,-122.4006831,50.0
MediaMath,125,USA,10018,New York,1440 Broadway,40.756799,-73.9763479,30.0
LoopNet,300,USA,94107,San Francisco,185 Berry Street,37.7759421,-122.3931139,50.0
Appcelerator,150,USA,94043,Mountain View,440 N. Bernardo Avenue,37.3909185,-122.0808426,16.0
SecondMarket,140,USA,10011,New York,636 Avenue of the americas,40.705439,-74.012822,30.0
SolarWinds,354,USA,78746,Austin,3711 South MoPac Expressway,30.245535,-97.805621,5.0
RGB Networks,125,USA,94089,Sunnyvale,390 West Java Drive,37.4123706,-122.0216271,9.0
Silver Spring Networks,650,USA,94063,Redwood City,575 Broadway Street,37.4858629,-122.2067269,7.0
Sonim Technologies,200,USA,94402,San Mateo,1875 S. Grant Street,37.553121,-122.301534,11.0
Initiate Systems,280,USA,60606,Chicago,200 West Madison Street,41.882301,-87.634311,7.0
[x+1],105,USA,10010,New York,315 Park Avenue South,40.7455068,-73.982624,30.0
Intalio,140,USA,94301,Palo Alto,644 Emerson Street,37.4434186,-122.1607586,11.0
Skout,100,USA,94105,San Francisco,301 Howard,37.7800539,-122.3912492,50.0
Chelsio Communications,170,USA,94085,Sunnyvale,370 San Aleso Ave.,37.3936563,-122.0279022,9.0
Good Technology,800,USA,94085,Sunnyvale,430 N. Mary Ave,37.518539,-122.254275,9.0
Synaptics,250,USA,95131,San Jose,"1251 McKay Dr.,",37.352313,-121.967982,16.0
Quantum Secure,160,USA,95112,San Jose,100 Century Center Court,37.367838,-121.915594,16.0
Skytap,200,USA,98104,Seattle,710 2nd Avenue,47.544341,-122.334732,8.0
Imaginova,150,USA,10016,New York,470 Park Avenue South,40.7454971,-73.9826042,30.0
Hirshorn Zuckerman Design Group,100,USA,,New York,,40.756054,-73.986951,30.0
Unity Technologies,200,USA,94107,San Francisco,795 Folsom,55.6924605,12.530107,50.0
Axcient,150,USA,94043,Mountain View,1161 San Antonio Rd.,37.3973018,-122.0595623,16.0
Z2Live,130,USA,98101,Seattle,1601 2nd Ave,47.6103008,-122.3399782,8.0
ZillionTV,100,USA,94086,Sunnyvale,1170 Kifer Road,37.3738725,-121.9973546,9.0
Nimsoft,150,USA,94065,Redwood City,275 Shoreline Drive,37.524851,-122.257185,7.0
ControlCircle,105,GBR,E14 9FH,London,221 Marsh Wall,51.5003204,-0.0178689,8.0
MetricStream,1000,USA,94303,Palo Alto,2600 E. Bayshore Road,37.446535,-122.118794,11.0
Basho Technologies,110,USA,02139,Cambridge,700 Massachusetts Ave.,42.365867,-71.092285,6.0
Red Engineering Design,100,GBR,W1T 3NJ,London,Woolverstone House,51.5234209,-0.1398614,8.0
Birst,150,USA,94108,San Francisco,153 Kearny Street,37.789471,-122.404113,50.0
eMeter,200,USA,94404,San Mateo,2215 Bridgepointe Parkway,37.560781,-122.284114,11.0
Corvil,100,USA,10017,New York,777 Third Ave.,40.7547187,-73.9711073,30.0
AeroScout,200,USA,94065,Redwood City,1300 Island Drive,37.5353434,-122.2558368,7.0
Canopy Financial,100,USA,94105,San Francisco,201 Spear St.,37.791388,-122.392148,50.0
Autoquake,100,GBR,NW1 5RA,London,Winchester House,51.543337,-0.172364,8.0
2 Minutes,105,FRA,75012,Paris,9 rue biscornet,48.8502056,2.3698033,6.0
Sunrun,180,USA,94105,San Francisco,"45 Fremont Street, 32nd Floor",37.7871306,-122.4041075,50.0
Tribold,106,GBR,W1W 5NA,London,19 Bolsover Street,51.5209358,-0.1424094,8.0
ZoomSystems,100,USA,94103,San Francisco,"22 4th Street, Floor 16",37.781689,-122.391061,50.0
Exent,100,USA,10001,New York,632 W. 28th St.,40.7523796,-74.005568,30.0
Audience,189,USA,94043,Mountain View,440 Clyde Avenue,37.397602,-122.047546,16.0
OpTier,150,USA,10118,New York,350 Fifth Avenue,40.754937,-73.985647,30.0
Maxymiser,250,USA,10012,New York,532 Broadway,55.9485591,-3.2151393,30.0
Solairedirect,150,FRA,75008,Paris,85 boulevard Haussmann,48.8745951,2.3210737,6.0
Mashable,100,USA,10010-3646,New York,304 Park Ave South,40.7401544,-73.9867417,30.0
SpringSoft,400,USA,95110,San Jose,"2025 Gateway Place, Suite 400",37.37027,-121.924053,16.0
